actual_RUL,rf_predicted_RUL,xgb_predicted_RUL,avg_sensor_value,sensor_11,sensor_9,sensor_4,sensor_7,op_set_1,op_set_2,op_set_3,sensor_health_index
135,136.31,126.09844,1517.8620222222225,47.57,9062.23,1408.38,553.06,-0.0021,0.0005,100.0,3506.06
2,10.43,10.067388,1517.6763444444443,48.13,9038.57,1421.3,551.73,-0.00030000000000000003,0.0,100.0,3502.666666666666
217,172.7,173.33553,1517.722838888889,47.01,9069.23,1394.82,554.22,0.0,-0.0002,100.0,3503.6866666666665
0,1.65,2.3970342,1529.823238888889,48.15,9155.85,1433.26,551.37,-0.0009,-0.0002999999999999999,100.0,3545.7533333333336
178,141.34,132.57422,1518.1406444444444,47.32,9059.46,1402.3,554.1,-0.0004,0.0001,100.0,3503.026666666666
70,111.35,107.979164,1518.792083333333,47.46,9072.0,1407.09,553.56,-0.004,-0.0002,100.0,3508.85
87,113.47,123.225624,1518.2747000000002,47.54,9066.37,1407.13,553.32,0.0033,0.0003,100.0,3507.013333333334
87,94.38,94.27375,1518.797538888889,47.7,9062.74,1420.24,553.04,-0.0021,0.0004,100.0,3510.226666666667
73,83.58,93.77809,1519.0067166666663,47.53,9072.18,1399.22,553.41,0.0013,0.0001,100.0,3506.31
77,158.71,175.4407,1515.6372888888886,47.35,9043.13,1399.25,553.5,0.0014,-0.0002,100.0,3496.5766666666664
96,147.43,141.40028,1518.0896944444444,47.47,9061.01,1404.95,553.75,0.0012,-0.0002,100.0,3504.476666666667
106,118.64,114.076904,1516.7126500000002,47.47,9043.58,1412.23,553.81,0.001,0.0,100.0,3501.093333333333
40,38.43,35.352463,1520.882016666667,47.68,9074.19,1421.29,551.73,0.003,0.0003,100.0,3514.3866666666668
161,165.11,147.53746,1518.1752055555555,47.27,9060.3,1408.53,553.71,0.0011,0.0004,100.0,3505.366666666667
153,143.64,149.10854,1516.3113888888888,47.53,9051.62,1404.63,553.58,-0.0031000000000000003,0.0004,100.0,3501.26
144,148.64,158.44762,1518.5863944444445,47.3,9074.98,1406.98,554.33,-0.0016999999999999997,0.0001,100.0,3509.7533333333326
234,195.89,189.96063,1516.934427777778,47.12,9057.12,1396.03,554.97,-0.0024,0.0002,100.0,3500.0900000000006
116,158.99,167.75513,1518.1373333333331,47.33,9070.63,1394.63,554.39,0.0038,-0.0002,100.0,3504.1966666666663
164,130.62,125.55573,1517.1182722222222,47.57,9049.92,1411.4,552.43,0.0004,0.0002,100.0,3502.963333333333
117,103.01,90.14183,1519.3086333333333,47.54,9073.22,1405.2,554.36,-0.0024,-0.0004,100.0,3508.6533333333336
195,174.89,182.59355,1516.613261111111,47.27,9050.81,1396.74,554.19,0.0005999999999999998,-0.0004,100.0,3498.273333333333
98,97.34,83.03348,1518.8252944444444,47.59,9065.56,1410.97,552.89,-0.0015,-0.0005,100.0,3508.0399999999995
191,119.91,118.45682,1516.4138555555555,47.63,9045.97,1412.11,552.92,-9.999999999999999e-05,-0.0001,100.0,3501.903333333333
107,144.05,151.90862,1518.559461111111,47.15,9066.53,1401.22,554.32,-0.0004,0.0,100.0,3504.9666666666667
38,24.84,24.161354,1522.4682833333331,47.93,9095.01,1421.27,552.52,0.0012,0.0004,100.0,3521.4033333333336
44,41.44,44.394478,1522.2746111111112,47.71,9098.61,1415.45,553.3,0.0,0.0001,100.0,3520.59
124,121.27,117.594696,1518.0455,47.49,9056.67,1414.81,553.62,-0.0004,0.0,100.0,3506.3233333333333
126,166.19,169.59363,1517.852933333333,47.23,9057.35,1395.81,555.02,-0.0023,0.0006,100.0,3500.1299999999997
132,106.32,102.422745,1517.9661222222223,47.64,9054.4,1412.37,552.59,0.0007,0.0002,100.0,3504.8033333333333
18,29.98,28.927319,1517.3990111111111,47.98,9049.49,1418.04,551.92,0.0019,0.0005,100.0,3505.1699999999996
92,85.35,93.86348,1518.1041944444446,47.64,9056.15,1417.67,553.44,0.0,0.0003,100.0,3507.153333333333
34,31.66,33.85957,1523.9969777777778,47.78,9111.82,1411.03,553.37,-0.0007,-0.0001,100.0,3523.5433333333335
56,47.32,52.717148,1521.8167611111112,47.79,9089.0,1419.01,552.96,0.0022000000000000006,-0.0001,100.0,3518.6000000000004
183,120.92,133.51425,1517.7591666666665,47.46,9058.91,1407.95,553.14,0.0038,0.0,100.0,3504.773333333333
137,144.64,159.76724,1516.0949833333334,47.51,9044.7,1406.3,553.1,-0.0009,0.0,100.0,3499.5033333333336
137,112.68,132.02823,1517.2269000000001,47.58,9063.15,1402.94,553.7,-0.001,0.0003,100.0,3504.556666666667
10,8.62,6.5129886,1526.1701944444444,47.98,9125.1,1425.47,551.49,-0.0008,0.0,100.0,3532.85
33,49.71,39.876835,1518.5526722222223,47.69,9059.1,1424.86,552.26,-0.0028,0.0005,100.0,3510.5500000000006
196,196.08,177.9124,1516.7414166666665,47.17,9058.39,1393.5,554.5,-0.0009,0.0003,100.0,3499.6866666666665
29,31.31,41.075882,1524.608622222222,47.66,9121.4,1400.51,552.85,0.0032000000000000006,-0.0004,100.0,3523.19
76,49.23,47.39877,1520.5361722222221,47.81,9074.41,1416.02,552.57,0.004699999999999999,-0.0002999999999999999,100.0,3512.7466666666664
136,110.17,117.98989,1517.9772777777775,47.49,9063.14,1406.23,553.71,-0.002,0.0003,100.0,3505.6199999999994
110,161.82,164.35484,1516.3016222222222,47.43,9048.5,1392.21,553.72,-0.0018,0.0004,100.0,3496.0466666666666
93,107.44,111.01736,1517.3603944444444,47.65,9054.08,1406.73,552.97,0.0008,0.0003,100.0,3502.8199999999997
62,83.2,73.17358,1519.5394444444446,47.47,9074.22,1401.36,553.87,-0.0029,0.0,100.0,3507.683333333333
11,12.61,10.921673,1520.0270944444444,47.99,9069.69,1423.15,551.61,0.0015,0.0001,100.0,3513.61
180,144.18,142.57855,1517.2870055555557,47.49,9054.2,1405.74,553.1,-0.00030000000000000003,0.0004,100.0,3502.476666666667
56,88.61,86.62513,1515.6588388888888,47.83,9042.94,1402.24,552.81,0.0025,0.0,100.0,3497.67
40,42.76,44.171375,1522.2735166666666,47.66,9095.43,1408.98,553.17,-0.0012000000000000001,-0.0002999999999999999,100.0,3517.3566666666666
69,85.83,75.58902,1519.5430111111114,47.58,9068.88,1415.28,553.74,0.0005999999999999998,-0.0002999999999999999,100.0,3510.58
135,102.34,105.32402,1519.349938888889,47.42,9072.88,1408.2,553.23,-0.0007,0.0,100.0,3509.5
